"1043","Flying J Travel Plaza","Idaho Falls","ID","I-15, Exit 113","$1.959","$2.159","$2.359","$2.999","$2.499","$2.799","7",""
"640","Flying J Travel Plaza","Jerome","ID","I-84 Exit 173","$1.899","$2.099","$2.299","$2.999","$2.559","$2.799","8",""
"641","Flying J Travel Plaza","McCammon","ID","I-15 Exit 47","$2.059","$2.259","$2.459","$2.899","$2.499","$2.799","5",""
"350","Pilot Travel Center","Mountain Home","ID","I-84 & US 20, Exit 95","$1.959","$2.159","$2.359","","$2.759","$2.799","9",""
"639","Flying J Travel Plaza","Post Falls","ID","I-90 Exit 2","$2.059","$2.259","$2.459","$2.159","$2.559","$2.799","8",""
"642","Flying J Travel Plaza","Alorton","IL","I-255 & Exit 17a","$1.959","$2.159","$2.359","$2.999","$2.389","$2.799","12","B12"
"1030","Pilot Travel Center","Alsip","IL","I-57 Exit 353, I-294 Exit 12A","$1.929","$2.129","$2.329","","$2.299","$2.799","7",""
"299","Pilot Travel Center","Bloomington","IL","I-55/74/IL 9, Exit 160","$1.819","","$2.219","","$2.389","$2.799","8","B11"
"526","Pilot Travel Center - Road Ranger","Champaign","IL","I-57, Exit 240","","","","","$2.389","$2.799","3","B11"
"473","Pilot Travel Center","Channahon","IL","I-55, Exit 248","$2.099","$2.299","$2.499","","$2.389","$2.799","4","B11"
"378","Pilot Travel Center - Road Ranger","Chicago","IL","I-55, Exit 288","","","","","$2.439","$2.799","1","B11"
"368","Pilot Travel Center","Decatur","IL","I-72, Exit 144","$1.599","$1.799","$1.999","","$2.389","$2.799","7","B11"
"523","Pilot Travel Center - Road Ranger","Dixon","IL","I-88, Exit 54","","","","","$2.359","$2.799","3","B11"
"313","Pilot Travel Center","East St. Louis","IL","I-55/70, Exit 4","$1.959","$2.159","$2.359","","$2.389","$2.799","9","B12"
"165","Pilot Travel Center","Effingham","IL","I-57/70, Exit 162","$1.689","$1.889","$2.089","","$2.389","$2.799","8","B11"
"643","Flying J Travel Plaza","Effingham","IL","I-70 & I-57, Exit 160","$1.689","$1.889","$2.089","$2.999","$2.389","$2.799","12","B11"
"468","Pilot Travel Center","Gilman","IL","I-57, Exit 283","$1.759","$1.959","$2.159","$2.999","$2.389","$2.799","7","B11"
"886","Pilot Travel Center - Road Ranger","Grayville","IL","I-64, Exit 130","","","","","$2.389","$2.799","6","B11"
"543","Pilot Travel Center - Road Ranger","Hampshire","IL","I-90, Exit 42","","","","","$2.389","$2.799","7","B11"
"1024","Pilot Travel Center","Joliet","IL","","$1.759","$1.959","$2.159","","$2.459","$2.799","",""
"644","Flying J Travel Plaza","LaSalle","IL","I-80 Exit 77","$1.779","$1.979","$2.179","$2.999","$2.359","$2.799","12","B11"
"514","Pilot Travel Center","Lincoln","IL","I-55, Exit 126","","","","","$2.389","$2.799","10","B11"
"540","Pilot Travel Center - Road Ranger","Loves Park","IL","I-90, Riverside Blvd.","","","","","$2.389","","","B11"
"595","Pilot Travel Center","Marion","IL","I-57, Exit 54","$1.859","$2.059","$2.259","","$2.389","$2.799","7","B12"
"579","Pilot Travel Center - Road Ranger","Marshall","IL","Illinois Hwy","","","","","$2.389","$2.799","8","B11"
"347","Pilot Travel Center - Road Ranger","McLean","IL","I-55, Exit 145","","","","","$2.389","$2.799","7","B11"
"530","Pilot Travel Center - Road Ranger","Mendota","IL","I-39, Exit 72","","","","","$2.359","$2.799","3","B11"
"326","Pilot Travel Center - Road Ranger","Minonk","IL","I-39, Exit 27","","","","","$2.359","$2.799","5","B11"
"236","Pilot Travel Center","Minooka","IL","I-80, Exit 122","$1.789","$1.989","$2.189","","$2.359","$2.799","8","B11"
"39","Pilot Travel Center","Monee","IL","I-57, Exit 335","$1.839","$2.039","$2.239","","$2.389","$2.799","5","B11"
"483","Pilot Travel Center","Morris","IL","I-80, Exit 112","$1.759","$1.959","$2.159","","$2.359","$2.799","8","B11"
"482","Pilot Travel Center","Mount Vernon","IL","I-57, Exit 95","$1.839","$2.039","$2.239","","$2.389","$2.799","8","B12"
"889","Flying J Travel Plaza","Mt. Vernon","IL","I-64/57 and Hwy 15","","","","","$2.389","$2.799","","B12"
"520","Pilot Travel Center - Road Ranger","New Berlin","IL","I-72, Exit 82","","","","","$2.389","$2.799","4","B11"
"171","Pilot Travel Center","Oakwood","IL","I-74, Exit 206","$1.679","$1.879","$2.079","$2.999","$2.389","$2.799","7","B11"
"534","Pilot Travel Center - Road Ranger","Okawville","IL","I-64, Exit 41","","","","","$2.389","$2.799","3","B12"
"515","Pilot Travel Center - Road Ranger","Ottawa","IL","I-80, Exit 93","","","","","$2.359","$2.799","6","B11"
"645","Flying J Travel Plaza","Pontoon Beach","IL","I-270 & Exit 6B","$1.959","$2.159","$2.359","$2.999","$2.389","$2.799","12","B12"
"541","Pilot Travel Center - Road Ranger","Princeton","IL","I-80, Exit 56","","","","","$2.359","$2.799","5","B11"
"539","Pilot Travel Center - Road Ranger","Rochelle","IL","I-39, Exit 99 at IL 38","","","","","$2.359","$2.799","8","B11"
"535","Pilot Travel Center - Road Ranger","Rockford","IL","I-90, Exit US 20 to IL 2","","","","","$2.439","","","B11"
"536","Pilot Travel Center - Road Ranger","South Beloit","IL","I-90, Exit 1","","","","","$2.389","$2.799","6","B11"
"646","Flying J Travel Plaza","South Beloit","IL","I-90 & HWY 75","$1.839","$2.039","$2.239","$2.799","$2.389","$2.799","12","B11"
"525","Pilot Travel Center - Road Ranger","Springfield","IL","I-55, Exit 100-A","","","","","$2.389","$2.799","4","B11"
"512","Pilot Travel Center - Road Ranger","Springfield","IL","I-55, Exit 90","","","","","$2.389","$2.799","6","B11"
"249","Pilot Travel Center","Troy","IL","I-55/70/IL 162, Exit 18","$1.959","$2.159","$2.359","","$2.389","$2.799","10","B12"
"529","Pilot Travel Center - Road Ranger","Tuscola","IL","I-57, Exit 212","","","","","$2.389","$2.799","","B11"
"537","Pilot Travel Center - Road Ranger","Winnebago","IL","US 20 Mile Marker #8","","","","","$2.439","","","B11"
"476","Pilot Travel Center","Woodhull","IL","I-74, Exit 32","$1.839","$2.039","$2.239","","$2.389","$2.799","7","B11"
"531","Pilot Travel Center - Road Ranger","Brazil","IN","I-70, Exit 23","","","","","$2.339 *","$2.799","3",""
"444","Pilot Travel Center","Brazil","IN","I-70, Exit 23","$1.839","$2.039","$2.239","","$2.339 *","$2.799","8","B5"
"445","Pilot Travel Center","Burns Harbor","IN","I-94, Exit 22","$1.939","$2.139","$2.339","","$2.329 *","$2.799","9","B5"
"339","Pilot Travel Center","Covington","IN","I-74 & SR 63, Exit 4","$1.839","","$2.239","","$2.379 *","$2.799","6","B5"
"247","Pilot Travel Center","Crawfordsville","IN","I-74, Exit 39","$1.899","$2.099","$2.299","","$2.339 *","$2.799","7","B5"
"446","Pilot Travel Center","Daleville","IN","I-69, Exit 234","$1.879","$2.079","$2.279","","$2.359 *","$2.799","9","B5"
"28","Pilot Travel Center","Daleville","IN","I-69, Exit 234","$1.879","$2.079","$2.279","","$2.359 *","$2.799","5","B10"
"881","Pilot Travel Center","Fort Wayne","IN","I-69, Exit 309A","","","","","$2.299 *","$2.799","9","B5"
"29","Pilot Travel Center","Fremont","IN","I-80/69, Exit 357","$1.859","$2.059","$2.259","","$2.339 *","$2.799","11","B5"
"271","Pilot Travel Center","Gary","IN","I-80/94, Exit 6","$1.959","$2.159","$2.359","","$2.329 *","$2.799","9","B5"
"719","Mr. Fuel","Gary","IN","I-94, Exit 6","$1.959","$2.159","$2.359","","$2.319 *","$2.699","8",""
"30","Pilot Travel Center","Greenfield","IN","I-70, Exit 96","$1.859","$2.059","$2.259","","$2.299 *","$2.799","8","B5"
"542","Pilot Travel Center - Road Ranger","Greenwood","IN","I-65, Exit 99","","","","","$2.349 *","$2.799","7",""
"647","Flying J Travel Plaza","Haubstadt","IN","I-64 & SR 41 Exit 25B","$1.859","$2.059","$2.259","$3.199","$2.359 *","$2.799","9","B5"
"447","Pilot Travel Center","Haubstadt","IN","I-64, Exit 25","$1.859","$2.059","$2.259","","$2.359 *","$2.799","8","B5"
"448","Pilot Travel Center","Hebron","IN","I-65, Exit 240","$1.939","$2.139","$2.339","","$2.339 *","$2.799","9","B5"
"653","Flying J Travel Plaza","Hebron","IN","Rt 2 & I-65 Exit 240","$1.939","$2.139","$2.339","$3.099","$2.339 *","$2.799","10","B5"
"31","Pilot Travel Center","Highland","IN","I-80/94, Exit 2","$1.959","$2.159","$2.359","","$2.329 *","$2.799","6","B5"
"318","Pilot Travel Center","Indianapolis","IN","I-465 & IN 37, Exit 4","$1.879","$2.079","$2.279","","$2.339 *","$2.799","7","B5"
"649","Flying J Travel Plaza","Indianapolis","IN","I-465 Exit 4","$1.879","$2.079","$2.279","$3.299","$2.339 *","$2.799","12","B5"
"721","Mr. Fuel","Indianapolis","IN","I-465/Hwy 40, Exit 4","$1.879","$2.079","$2.279","","$2.329 *","$2.699","14",""
"1020","Mr. Fuel","Lake Station","IN","I-80 & I-94, Exit 15B","$1.939","$2.139","$2.339","","$2.319 *","$2.699","8",""
"650","Flying J Travel Plaza","Lake Station","IN","I-94 & Exit 15b","$1.939","$2.139","$2.339","$3.099","$2.329 *","$2.799","12","B5"
"546","Pilot Travel Center - Road Ranger","Lake Station","IN","I-80, Exit 15A","","","","","$2.329 *","","","B5"
"478","Pilot Travel Center","Leavenworth","IN","I-64, Exit 92","$1.779","$1.979","$2.179","","$2.359 *","$2.799","7"," "
"652","Flying J Travel Plaza","Lebanon","IN","I-65 Exit 139","$1.859","$2.059","$2.259","$2.999","$2.339 *","$2.799","8","B5"
"152","Pilot Travel Center","Memphis","IN","I-65, Exit 16","$1.899","$2.099","$2.299","","$2.299 *","$2.799","7"," "
"304","Flying J Travel Plaza","New Haven","IN","Hwy 30; I-469 & Exit 19","$1.879","$2.079","$2.279","$2.899","$2.099 *","$2.799","9","B5"
"362","Pilot Travel Center","Pendleton","IN","I-69, Exit 214","$1.879","$2.079","$2.279","","$2.359 *","$2.799","6",""
"198","Pilot Travel Center","Plymouth","IN","US Hwy 30 & 31","$1.899","$2.099","$2.299","","$2.329 *","$2.799","8","B5"
"34","Pilot Travel Center","Remington","IN","I-65, Exit 201","$1.759","$1.959","$2.159","","$2.339 *","$2.799","7","B5"
"242","Pilot Travel Center","Shelbyville","IN","I-74, Exit 109","$1.899","$2.099","$2.299","","$2.339 *","$2.799","8","B5"
"35","Pilot Travel Center","South Bend","IN","I-80, Exit 72","$1.859","$2.059","$2.259","","$2.329 *","$2.799","6","B5"
